"Team","Position","Name","Games played","Goals scored","Interceptions","Recoveries","Passes"
"Athletic Club","Goalkeeper","Hodei Oleaga","0","0","2","0","1"
"Athletic Club","Midfielder","Iñigo Vicente","7","2","1","0","1"
"Athletic Club","Goalkeeper","A. Remiro","7","0","1","0","0"
"FC Barcelona","Goalkeeper","Iñaki Peña","5","0","2","0","1"
"FC Barcelona","Defender","Guillem Jaime","5","1","0","0","1"
"Real Madrid","Defender","Adrián de la Fuente","8","2","1","0","0"
"Real Madrid","Midfielder","Álvaro Fidalgo","2","2","2","0","1"
"FC Barcelona","Defender","Juan Miranda","3","1","2","0","0"
"Real Madrid","Midfielder","Jaume Grau","3","2","1","0","0"
"Real Madrid","Defender","Francisco Garcia","2","1","2","0","1"
"Real Madrid","Defender","Javi Sánchez","9","0","3","1","9"
"Athletic Club","Forward","Gorka Guruzeta","2","1","9","2","10"
"Real Madrid","Forward","Mariano","19","7","0","2","98"
"FC Barcelona","Forward","Kevin-Prince Boateng","1","1","7","4","50"
"Real Madrid","Forward","Cristo González","5","2","10","3","11"
"FC Barcelona","Defender","Jeison Murillo","9","0","2","3","115"
"Athletic Club","Forward","Kenan Kodro","20","0","8","6","40"
"Athletic Club","Defender","I. Lekue","2","1","5","7","78"
"Athletic Club","Midfielder","Iturraspe","0","2","12","8","90"
"FC Barcelona","Midfielder","Rafinha","3","2","1","14","119"
"Real Madrid","Midfielder","Brahim Díaz","2","2","2","19","170"
"Real Madrid","Goalkeeper","Luca Zidane","7","0","1","11","46"
"FC Barcelona","Defender","Todibo","3","0","2","14","127"
"Athletic Club","Forward","Aduriz","13","1","7","18","225"
"Athletic Club","Midfielder","Mikel Rico","0","0","1","12","103"
"Real Madrid","Defender","Vallejo","5","1","5","40","166"
"FC Barcelona","Forward","Malcom","20","1","1","25","304"
"FC Barcelona","Defender","Vermaelen","10","1","5","23","389"
"Athletic Club","Midfielder","Unai López","8","2","0","28","244"
"Atlético de Madrid","Defender","Manuel Sánchez","0","2","3","1","0"
"Atlético de Madrid","Midfielder","Cristian Rodríguez","0","2","2","1","0"
"Atlético de Madrid","Midfielder","Joaquín Muñoz","1","0","2","0","1"
"Atlético de Madrid","Midfielder","Borja Garcés","1","1","0","1","4"
"Atlético de Madrid","Midfielder","Mikel Carro","0","1","2","0","0"
"Atlético de Madrid","Midfielder","Gustavo Assunção","0","0","1","1","0"
"Atlético de Madrid","Goalkeeper","Adán","1","0","2","0","22"
"Atlético de Madrid","Defender","Nehuen Pérez","0","2","2","0","0"
"Atlético de Madrid","Midfielder","Victor Mollejo","4","1","2","0","23"
"Atlético de Madrid","Goalkeeper","Alex Dos Santos","0","0","0","5","0"
"Atlético de Madrid","Midfielder","Sergio Camello","1","2","2","4","9"
"Atlético de Madrid","Defender","Andrés Solano","1","1","0","5","26"
"Atlético de Madrid","Forward","Kalinić","17","1","7","9","107"
"Atlético de Madrid","Defender","Francisco Montero","9","0","6","16","160"
"Atlético de Madrid","Forward","Diego Costa","16","2","7","22","300"
"Atlético de Madrid","Forward","Morata","15","6","7","33","256"
"Atlético de Madrid","Forward","Vitolo","20","1","3","55","308"
"Atlético de Madrid","Defender","L. Hernández","14","1","17","67","509"
"Atlético de Madrid","Defender","J. M. Giménez","21","0","42","70","718"
"Atlético de Madrid","Defender","Savić","18","0","22","77","544"
"Atlético de Madrid","Defender","Arias","25","1","30","91","790"
"Atlético de Madrid","Forward","Lemar","31","3","15","104","938"
"Atlético de Madrid","Forward","Griezmann","37","15","18","112","1.388"
"Atlético de Madrid","Forward","Correa","36","3","12","114","714"
"Atlético de Madrid","Defender","Juanfran","22","0","20","135","770"
"Atlético de Madrid","Defender","Godín","30","3","42","134","1.047"
"Atlético de Madrid","Midfielder","Thomas","32","3","54","145","1.327"
"Atlético de Madrid","Defender","Filipe Luis","27","2","43","147","1.287"
"Atlético de Madrid","Midfielder","Koke","30","3","30","192","1.941"
